yes,affirmation
yea,affirmation
ok,affirmation
okay,affirmation
okey-dokey,affirmation
okie dokie,affirmation
kk,affirmation
k,affirmation
affirmative,affirmation
confirmed,affirmation
yessir,affirmation
aye aye,affirmation
got it,affirmation
roger,affirmation
roger that,affirmation
yup,affirmation
yupp,affirmation
ja,affirmation
si,affirmation
alright,affirmation
sure,affirmation
will do,affirmation
fine,affirmation
i have,affirmation
i will,affirmation
i did,affirmation
willing,affirmation
done,affirmation
no,negation
not,negation
uh-uh,negation
nah,negation
nope,negation
i can't,negation
i haven't,negation
no way,negation
negative,negation
no sir,negation
fat chance,negation
fuck you,negation
i won't,negation
i refuse,negation
How many pills am I taking?,dosage-daily
Am I taking 4 carbocisteine pills today?,dosage-daily
what is today's dosage of carbocisteine,dosage-daily
how much carbocisteine am I taking per day,dosage-daily
what is my daily intake of carbocisteine?,dosage-daily
how many %s pills am i taking per week?,dosage-weekly
how much %s am i taking weekly?,dosage-weekly
what is my weekly intake of %s?,dosage-weekly
am I taking less than 4 pills a week?,dosage-weekly
am i taking more than 5 pills a week?,dosage-weekly
how many total carbocisteine am I using?,dosage-total
How many times have I taken carbocisteine?,frequency-number
How often do I take carbocisteine?,frequency-number
How many days have I been on carbocisteine?,frequency-number
How many more days do I need to take carbocisteine,frequency-number
when do I take carbocisteine,frequency-dotw
on what days am i taking carbocisteine,frequency-dotw
when's the next time I take carbocisteine,frequency-dotw
What side effects does carbocisteine have,side-effects-list
What are the side effects of carbocisteine,side-effects-list
what are carbocisteine's side effects?,side-effects-list
does carbocisteine have any side effects,side-effects-list
Does carbocisteine cause nausea?,side-effects-cause
Is sneezing a symptom of carbocisteine,side-effects-cause
is my upset stomach and carbocisteine related,side-effects-cause
would carbocisteine be the reason for my ulcers,side-effects-cause
How many carbocisteine pill do I have left?,pill-current
How many carbocisteines do i have right now?,pill-current
Current count of carbocisteine pills,pill-current
when will i run out of carbocisteine pills,pill-run-out
how long until i finish my carbocisteine pills,pill-run-out
when will i stop taking carbocisteine,calendar-end
what is my end date for carbocisteine?,calendar-end
how long until i finish carbocisteine,calendar-end
when did i start taking carbocisteine,calendar-start
what is my start date for carbocisteine?,calendar-start
how long since i started carbocisteine,calendar-start
When is the next day I'll be taking carbocisteine,calendar-next-day
Will i take carbocisteine tomorrow?,calendar-next-day
whens the next time for carbocisteine,calendar-next-day
When is the last day I'll be taking carbocisteine,calendar-previous-day
Did i take carbocisteine yesterday,calendar-previous-day
when was the last time for carbocisteine,calendar-previous-day
How many pills am I taking?,dosage-daily
Am I taking 4 nepafenac pills today?,dosage-daily
what is today's dosage of nepafenac,dosage-daily
how much nepafenac am I taking per day,dosage-daily
what is my daily intake of nepafenac?,dosage-daily
how many %s pills am i taking per week?,dosage-weekly
how much %s am i taking weekly?,dosage-weekly
what is my weekly intake of %s?,dosage-weekly
