yes,affirmation
yea,affirmation
ok,affirmation
okay,affirmation
okey-dokey,affirmation
okie dokie,affirmation
kk,affirmation
k,affirmation
affirmative,affirmation
confirmed,affirmation
yessir,affirmation
aye aye,affirmation
got it,affirmation
roger,affirmation
roger that,affirmation
yup,affirmation
yupp,affirmation
ja,affirmation
si,affirmation
alright,affirmation
sure,affirmation
will do,affirmation
fine,affirmation
i have,affirmation
i will,affirmation
i did,affirmation
willing,affirmation
done,affirmation
no,negation
not,negation
uh-uh,negation
nah,negation
nope,negation
i can't,negation
i haven't,negation
no way,negation
negative,negation
no sir,negation
fat chance,negation
fuck you,negation
i won't,negation
i refuse,negation
How many prochlorperazine pills am I taking today?,dosage-daily
Am I taking 4 prochlorperazine pills today?,dosage-daily
what is today's dosage of prochlorperazine,dosage-daily
how much prochlorperazine am I taking per day,dosage-daily
what is my daily intake of prochlorperazine?,dosage-daily
How many prochlorperazine pills am I taking?,dosage-weekly
How many prochlorperazine do I need to take right now?,dosage-weekly
how much prochlorperazine am I taking next?,dosage-weekly
How many times have I taken prochlorperazine?,frequency-number
How often do I take prochlorperazine?,frequency-number
How many days have I been on prochlorperazine?,frequency-number
How many more days do I need to take prochlorperazine,frequency-number
What side effects does prochlorperazine have,side-effects-list
What are the side effects of prochlorperazine,side-effects-list
what are prochlorperazine's side effects?,side-effects-list
does prochlorperazine have any side effects,side-effects-list
Does prochlorperazine cause nausea?,side-effects-cause
Is sneezing a symptom of prochlorperazine,side-effects-cause
is my upset stomach and prochlorperazine related,side-effects-cause
would prochlorperazine be the reason for my ulcers,side-effects-cause
when will i stop taking prochlorperazine,calendar-end
what is my end date for prochlorperazine?,calendar-end
how long until i finish prochlorperazine,calendar-end
when did i start taking prochlorperazine,calendar-start
what is my start date for prochlorperazine?,calendar-start
how long since i started prochlorperazine,calendar-start
How many flurbiprofen pills am I taking today?,dosage-daily
Am I taking 4 flurbiprofen pills today?,dosage-daily
what is today's dosage of flurbiprofen,dosage-daily
how much flurbiprofen am I taking per day,dosage-daily
what is my daily intake of flurbiprofen?,dosage-daily
How many flurbiprofen pills am I taking?,dosage-weekly
How many flurbiprofen do I need to take right now?,dosage-weekly
how much flurbiprofen am I taking next?,dosage-weekly
How many times have I taken flurbiprofen?,frequency-number
How often do I take flurbiprofen?,frequency-number
How many days have I been on flurbiprofen?,frequency-number
How many more days do I need to take flurbiprofen,frequency-number
What side effects does flurbiprofen have,side-effects-list
What are the side effects of flurbiprofen,side-effects-list
what are flurbiprofen's side effects?,side-effects-list
does flurbiprofen have any side effects,side-effects-list
Does flurbiprofen cause nausea?,side-effects-cause
Is sneezing a symptom of flurbiprofen,side-effects-cause
is my upset stomach and flurbiprofen related,side-effects-cause
would flurbiprofen be the reason for my ulcers,side-effects-cause
when will i stop taking flurbiprofen,calendar-end
what is my end date for flurbiprofen?,calendar-end
