yes,affirmation
yea,affirmation
ok,affirmation
okay,affirmation
okey-dokey,affirmation
okie dokie,affirmation
kk,affirmation
k,affirmation
affirmative,affirmation
confirmed,affirmation
yessir,affirmation
aye aye,affirmation
got it,affirmation
roger,affirmation
roger that,affirmation
yup,affirmation
yupp,affirmation
ja,affirmation
si,affirmation
alright,affirmation
sure,affirmation
will do,affirmation
fine,affirmation
i have,affirmation
i will,affirmation
i did,affirmation
willing,affirmation
done,affirmation
no,negation
not,negation
uh-uh,negation
nah,negation
nope,negation
i can't,negation
i haven't,negation
no way,negation
negative,negation
no sir,negation
fat chance,negation
fuck you,negation
i won't,negation
i refuse,negation
How many pergolide pills should I take?,INQUIRY
How many pergolide should I take?,INQUIRY
What number of pergolide should I take,INQUIRY
What is my daily dosage of pergolide,INQUIRY
What is my weekly dosage of pergolide,INQUIRY
Whats my dosage of pergolide today,INQUIRY
How many of them?,INQUIRY
Is it okay to take 5 pergolide pills?,INQUIRY
How frequently do I take pergolide?,INQUIRY
How many times do I take pergolide?,INQUIRY
How often do I take pergolide?,INQUIRY
At what rate do I take pergolide?,INQUIRY
Am I taking pergolide more than 3 times a week?,INQUIRY
what is the side effect of pergolide,INQUIRY
What are the side effects of pergolide?,INQUIRY
Does pergolide have any side affects?,INQUIRY
what are pergolide's side effects?,INQUIRY
Is coughing a side effect of pergolide,INQUIRY
What is causing my stomach pains?,INQUIRY
how many pergolide do I have left?,INQUIRY
how many pergolide pills do I have?,INQUIRY
what number of pergolide are left,INQUIRY
when do I stop taking pergolide?,INQUIRY
when did I start taking pergolide?,INQUIRY
when is the next time I'll take pergolide?,INQUIRY
when was the last time I took pergolide?,INQUIRY
How many more times in July will I take pergolide?,INQUIRY
How many times will I take pergolide in the fall?,INQUIRY
How many allopurinol pills should I take?,INQUIRY
How many allopurinol should I take?,INQUIRY
What number of allopurinol should I take,INQUIRY
What is my daily dosage of allopurinol,INQUIRY
What is my weekly dosage of allopurinol,INQUIRY
Whats my dosage of allopurinol today,INQUIRY
How many of them?,INQUIRY
Is it okay to take 5 allopurinol pills?,INQUIRY
How frequently do I take allopurinol?,INQUIRY
How many times do I take allopurinol?,INQUIRY
How often do I take allopurinol?,INQUIRY
At what rate do I take allopurinol?,INQUIRY
Am I taking allopurinol more than 3 times a week?,INQUIRY
what is the side effect of allopurinol,INQUIRY
What are the side effects of allopurinol?,INQUIRY
Does allopurinol have any side affects?,INQUIRY
what are allopurinol's side effects?,INQUIRY
Is coughing a side effect of allopurinol,INQUIRY
What is causing my stomach pains?,INQUIRY
how many allopurinol do I have left?,INQUIRY
how many allopurinol pills do I have?,INQUIRY
what number of allopurinol are left,INQUIRY
when do I stop taking allopurinol?,INQUIRY
when did I start taking allopurinol?,INQUIRY
when is the next time I'll take allopurinol?,INQUIRY
when was the last time I took allopurinol?,INQUIRY
